No,Tgl_Iklan,Urt,Harga_Juta,Kota,LT_m,LB_m,KT,KM,KTP,KMP,Carport,Garasi,Listrik_Watt,Surat,Judul,Deskripsi
1,7-Apr-21,https://rumahdijual.com/2950575 ,1800,Tangerang ,78,84,3,2,0,0,1,0,3500,SHM,RUMAH DIJUAL: The Arcadia Townhouse @ Bintaro,"The Arcadia Town House Bintaro
Devleoper Tristar Sebana Propertindo
Limited Unit 34 Unit Only
Lokasi dekat BPK Penabur Bintaro
Lokasi Strategis

Tipe rumah arcadia townhouse bintaro
Luas tanah mulai dari 67 m2- 129 m2
Luas bangunan mulai dari 84 m2-118 m2

Tipe A
– Luas Tanah 90-128 m2
– Luas Bangunan 113 m2
– 2-3 Kamar tidur
– 2 Kamar mandi
– 2 Lantai
– 2 Carport

Tipe B
– Luas Tanah 67-122 m2
– Luas Bangunan 84-86 m2
– 2-3 Kamar tidur
– 2 Kamar mandi
– 2 lantai
– 2 Carport

Tipe C
– Luas Tanah 105 m2
– Luas Bangunan 90 m2
– 3 Kamar Tidur
– 2 Kamar Mandi
– 2 Lantai
– 2 Carport

Spesifikasi Bangunan :
STRUKTUR
Pondasi – Mini Pile
Struktur atas – Dinding Bata RIngan, Beton bertulang
Rangka atap – Baja Ringan

FINISHING
Lantai Dalam – Granit Tile
Lantai Carport – Keramik
Lantai Kamar Mandi Utama – Granit Tile
Lantai Kamar Mandi – Granit Tile
Teras – Keramik
Dinding Luar – Finishing Cat Weathershield, Batu Alam
Dinding Dalam – Finishing Cat
Kusen Jendela & Pintu – Aluminium (exterior), Kayu Fabrikasi (Interior)
Daun Pintu Utama – Kayu Solid Fabrikasi
Daun Pintu – Kayu Fabrikasi
Penutup Atap – Genteng Keramik

INSTALASI
Air Bersih – Air Sumur Pompa
Septik tank – Bio Tech Septik Tank
Listrik – 3500 VA

CARA BAYAR

-CASH
-KPR

Bank Kerjasama :
BNI
BTN
BNI SYARIAH

LOKASI
Dekat dengan sekolah BPK Penabur Bintaro
Lingkungan yang asri
Dekat dengan station Jurang Mangu
Diapit oleh tol Bintaro dan Graha Raya
Dekat dengan Rumah Sakit Pondok Indah
Dekat Dengan Rumah sakit Premier Bintaro
Dekat Dengan Pusat perblanjaan serta taman jajan Bintaro
Dekat dengan Trans park Bintaro
Akses yang mudah di jangkau
Serta fasilitas penunjang lainnya yang dimiliki Bintaro Jaya"
2,7-Apr-21,https://rumahdijual.com/2950576,3200,Tangerang ,202,343,4,4,0,0,0,0,0,SHM,"RUMAH DIJUAL: Rumah villa melati mas,bangunan bagus,Full furnish","Dijual rumah villa melati mas,bangunan bagus rapi siap huni
Lt 202 LB 343,Kmr tdr 4 Kmr MANDI 3+1.SHM . pam + jet pump.
Harga 3,2 nego. Fully furnish.
Hub 081288865655"
3,7-Apr-21,https://rumahdijual.com/2950577,1500,Tangerang ,96,110,2,3,1,0,2,0,2200,SHM,RUMAH DIJUAL: Rumah Cantik Murah Villa Bintaro Regency Pondok Aren,"Rumah Murah Full Furnished VBR
Jalan Lebar
Dekat Mesjid & Kolam Renang Perumahan
Lingkungan Nyaman & Asri
Strategis

Lt.96/Lb.110
1,5 Lantai
2 Carport
SHM
Harga Rp. 1,5 M Nego"
4,7-Apr-21,https://rumahdijual.com/2950578,3300,Tangerang ,164,185,4,4,1,0,0,1,3300,SHM,RUMAH DIJUAL: Rumah Murah Jual Cepat Emerald Bintaro Jaya Sektor 9,"Rumah Emerald Murah Jual Cepat Bintaro Jaya Sektor 9

Luas Tanah 164
Luas Bangunan +-185
Kamar Tidur 4+1
Kamar Mandi 3+1
Sertifikat Hak Milik
Hook
Harga Rp. 3,3 Milyard Nego

Security 24 Jam
Strategis
Bebas Banjir
Dekat Toll & Stasiun
Dekat Mesjid As-Shaff & Pasar Modern Emerald
Dekat Rumah Sakit, Mall, Kuliner, Bank/ATM, Polsek, Kelurahan, Cafe, Sekolah, Pertokoan, Perkantoran, Universitas, Perumahan, Cluster, Apartemen, Restoran, dsb
#rumahmurah
#rumahbintaro
#bintarojaya
#clusterelite
#clusterbintaro
#emerald
#rumahmewah
#rumahcantik
#jualcepat
#hargacovid"
5,7-Apr-21,https://rumahdijual.com/2950579,5800,Tangerang ,775,450,4,4,1,0,0,1,3500,SHM,"RUMAH DIJUAL: Murah Hitung Tanah 7,5jt/m2 nego di bwh hrg Pasar sektor 2 Bintaro Jaya,Tangsel","Murah. Jual Cepat. Jual Hitung Tanah aja. Jual Tanah pun msh dibawah Harga Pasar 7,5jt/m2 msh nego dgn Luas Tanah 775 m. Sertifikat Hak Milik. IMB ada.
*Harga Promo Covid*

Lingkungan Nyaman & Aman. Security 24 Jam. Dekat dgn Taman.
Bebas Banjir. Tetangga Ramah. Lokasi Strategis Dekat dgn Stasiun, Toll, Rumah Sakit, Mall, Sekolah"", & Pasar Modern.
Langsung aja survey ke lokasi.
Cepatin aja.. Keburu Laku...."
6,7-Apr-21,https://rumahdijual.com/2950580,760,Tangerang ,60,52,2,1,0,0,0,0,0,SHM,RUMAH DIJUAL: Dijual rumah baru diporis indah tangerang,"Dijual rumah baru.. di poris indah tangerang
Hub tony 081807720552 (wa) 082180742079"
7,7-Apr-21,https://rumahdijual.com/2950581,550,Tangerang ,60,50,3,2,0,0,0,1,1300,SHM,RUMAH DIJUAL: Akses Mudah Rumah Murah Bebas Custom Ciater Pamulang Promo Harga #10,".Termurah dan ternyaman lokasi strategis kawasan pusat kota, dengan pembangunan yang sangat menarik, kami sediakan rubah tampak dalam sesuai keinginan (Custom), kami ada contoh di Unit sebelumnya, jadi ada gambaran seperti apa yang di inginkan

Kelebihan Kami
-Pos Security dan keamanan 24 jam (CCTV)
-One Gate System
-Fasum Fasus
-Bebas Banjir
-Jalan dan sekitar sangat nyaman

Lokasi Strategis
- 3menit rencana St MRT Benda dan alun2 20 Hektar
- 3menit kantor walikota tangsel dan superindo
- 5menit Rs permata pamulang
- 5menit Rsia buah hati
- 5menit sekolah Islam Al Zahra
- 5menit Tol Pamulang
- 8menit lotte mart
- 8menit blitz megaplex
- 8menit tol BSD Ciater
- 12menit tol Serpong/BSD
- 12menit St Rawa Buntu
- 18menit St Sudimara

Type 60/50 Rp 610 Juta Nego Dilokasi setelah cocok lokasi, kami bantu semaxsimal mungkin.

Tahap 1 Sold Out 21 Unit
Tahap 2 Sold Out 22 Unit
Tahap 3 ada 30 Unit siap bangun

Miliki sekarang juga unit nya selagi terjangkau, semakin berkembang semakin mahal

In House
Ade Indrawan"
8,7-Apr-21,https://rumahdijual.com/2950582,5400,Tangerang ,180,248,4,4,1,1,1,1,4400,PPJB,RUMAH DIJUAL: Cluster CAELUS Lebar 10 Kawasan GREENWICH PARK BSD City #caelus39,".⭐ CAELUS @ Greenwich Park BSD CITY
🏖 Your Home, Your Resort!

Cluster CAELUS berada dikawasan Greenwich Park BSD City
Cluster Caelus di lengkapi fasilitas 1.6 Ha Lagoon Pool, dan dapat dilalui menggunakan Connectivity Path. Benar-benar Trully resort!

Lokasi Sangat Dekat Dengan :
Sekolah IPEKA Plus, JNY, SWA, Binus, Dll
Kampus Prasmul, Atmajaya, UMN
Aeon Mall, Plaza BSD, The Breeze, ITC, SDC
Pasar Modern 2, Intermoda, Exit Toll
RS Eka Hospital, RS Medika, RS THT BSD, RS Bethsaida, RS Carolous
Cluster CAELUS didesain khusus oleh arsitek ternama Denny Gondo dengan Keistimewaan :
Minimalis Tropical Arsitektur
Special Attic Room (Santuary Room with Sky View)
Smart Home System with Smart Lighting
Sky Balcony

SPESIFIKASI UNIT :
🏠 L- 10 Badan

Type 248/180
Lb 248 m2
Lt 180 m2 (10 X 18)
4 + 1 Kamar Tidur
4 + 1 Kamar Mandi
Garasi + Carport

Hubungi:
DANNY
081212122727

Link WA :
api.whatsapp.com/send?phone=6281212122727
Sell-Buy-Rent"
9,7-Apr-21,https://rumahdijual.com/2950583,898,Tangerang ,52,126,2,1,0,0,1,0,2200,SHM,RUMAH DIJUAL: bali resort dekat bukit dago gunung sindur #5542,"Kunjungi butikproperti.com Properti Dijual

Tipe : 52/126, Harga 898 Juta, Kondisi Siap Huni

Lokasi : bali resort gunung sindur
Kondisi Bangunan : Siap Huni .
Luas Bangunan : 52 .
Luas Tanah : 126 Hoek (sudut) .
Kamar Tidur : 2 .
Kamar Mandi : 1 .
Lantai : 1 .
Carport : 1 .
Sertifikat: SHM

Info Lainya: lokasi masuk kecamatan gunung sindur bogor, tetapi akses lebih dekat ke serpong bsd city, dekat perumahan bukit dago, akses tol BSD City, akses KRL rawabuntu serpong, dan terjangkau ke AEON mall, lokasi perumahan sangat tertata rapi dan exclusive

Harga : 898 Juta .

Untuk Info dan survey Lokasi Hubungi HP / WhatApps
Wahyudi : 081210999447

WhatApps wa.me/6281210999447

stock lainya klik : www.butikproperti.com
"
10,7-Apr-21,https://rumahdijual.com/2950584,768,Tangerang ,30,41,1,2,0,0,0,0,2200,PPJB,RUMAH DIJUAL: MYZA RUMAH FULLY SMART FURNISHED BSD CITY,"Rumah Millenial BARU Unik dan menarik di BSD
Hunian Rumah Tapak Tapi Seharga unit Studio Apartment
Pertama di BSD untuk yang Muda dan berJiwa Muda Wajib Memiliki Hunian Di Lokasi Strategis ini

ukuran dan harga rumah MYZA BSD CITY

LUAS TANAH UK. 3X 10M

Luas bangunan : 41m

(advanced split level design)

1 master bedroom + ensuite bathroom
1 kitchenb + dinning area + bathroom
1 living room with smart sofa bed ,skylight and balcony
1 working area
fully furnished
harga mulai 700jt an (cash keras)
KPR cicilan 4juta an /bulan

Keunggulan
Kamar tidur 1+2
Lokasi Strategis (dekat Kawasan CBD Tahap 3)
Tersedia shuttle bus ke Terminal intermoda
Deket akses tol
Tersedia shuttle bus ke Terminal intermoda

Fully Smart Furnished
Harga Terjangkau Sekali

cuma 760jt an

belum termasuk Diskon

hingga 12,5%

waoowww berarti cuma 700jt an dong

House For Millenial at First Cluster in the New Area CBD BSD.
buat kamu yg mau KPR bisa tanpa Dp karena utk KpR ekspress diskon 10% dan ditambah 2% jadi bisa bebas biaya akad KPR ,

cuss langsung cicil saja.

mudahkan gaesss dapatin rumahnya"
